City_Name,Total_Properties,Investor_Properties,Investor_Percentage,School_Name,Total_Properties,Investor_Properties,Investor_Percentage
Arlington,101151,14490,14.32511789,,,,
Burleson,2969,352,11.85584372,,,,
Euless,13121,1456,11.09671519,,,,
Flower Mound,492,13,2.642276423,,,,
Forest Hill,4401,664,15.08748012,,,,
Fort Worth,251292,36387,14.47996753,,,,
Grand Prairie,15650,1304,8.332268371,,,,
Grapevine,12507,1021,8.16342848,,,,
Haltom City,11026,1496,13.56793035,,,,
Haslet,1759,156,8.868675384,,,,
Hurst,11275,1026,9.099778271,,,,
Keller,14618,1014,6.936653441,,,,
Kennedale,2703,400,14.79837218,,,,
Lake Worth,1783,273,15.31127314,,,,
Lakeside,685,33,4.817518248,,,,
Mansfield,19005,2180,11.47066561,,,,
North Richland Hills,20822,2020,9.701277495,,,,
Pantego,873,67,7.674684994,,,,
Pelican Bay,883,172,19.4790487,,,,
Richland Hills,2716,279,10.2724595,,,,
River Oaks,2726,469,17.20469552,,,,
Saginaw,7801,907,11.62671452,,,,
Sansom Park,1490,265,17.7852349,,,,
Southlake,9666,536,5.545210014,,,,
Watauga,8092,1356,16.75729115,,,,
Westlake,746,75,10.0536193,,,,
Westover Hills,286,54,18.88111888,,,,
Westworth Village,849,170,20.02355713,,,,
White Settlement,5137,877,17.07222114,,,,
,,,,,,,
,,,,Aledo,830,41,4.939759036
,,,,Arlington,84797,11808,13.92502093
,,,,Azle,9073,996,10.97762592
,,,,Birdville,40104,4602,11.47516457
,,,,Burleson,7164,924,12.89782245
,,,,Carroll,10604,660,6.22406639
,,,,Castleberry,6101,1029,16.86608753
,,,,Crowley,33705,5215,15.47248183
,,,,Eagle Mountain-Saginaw,41247,4905,11.89177395
,,,,Everman,7545,1435,19.01921803
,,,,Fort Worth,139102,21680,15.58568532
,,,,Godley,222,6,2.702702703
,,,,Grapevine-Colleyville,22554,1988,8.814400993
,,,,Hurst-Euless-Bedford,41013,3594,8.763075123
,,,,Keller,54565,5564,10.19701274
,,,,Kennedale,6829,1077,15.77097672
,,,,Lake Worth,3609,628,17.40094209
,,,,Lewisville,492,13,2.642276423
,,,,Mansfield,48424,5723,11.81851974
,,,,Northwest,21856,2193,10.03385798
,,,,White Settlement,12515,1796,14.35077907
